Age_band_of_driver,Vehicle_driver_relation,Driving_experience,Area_accident_occured,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Age_band_of_casualty,Cause_of_accident,Accident_severity
18-30,Owner,5-10yr,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,31-50,No distancing,Serious Injury
18-30,Owner,Above 10yr,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Getting off the vehicle improperly,Slight Injury
Over 51,Owner,2-5yr,School areas,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Over 51,No priority to pedestrian,Slight Injury
31-50,Owner,Above 10yr,School areas,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,2,1,Moving Backward,na,na,Changing lane to the left,Slight Injury
31-50,Owner,5-10yr,School areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,18-30,No distancing,Slight Injury
Unknown,Owner,,Residential areas,One way,Crossing,Gravel roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Other,na,na,Driving carelessly,Slight Injury
Over 51,Owner,5-10yr,Other,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,31-50,No distancing,Slight Injury
18-30,Owner,Below 1yr,Office areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Windy,Vehicle with vehicle collision,2,1,Unknown,na,na,Changing lane to the right,Slight Injury
31-50,Owner,2-5yr,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Windy,Vehicle with vehicle collision,2,1,Turnover,na,na,Overtaking,Slight Injury
18-30,Employee,2-5yr,School areas,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Collision with pedestrians,2,1,Getting off,Driver or rider,Under 18,Driving carelessly,Slight Injury
31-50,Employee,2-5yr,Other,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Collision with pedestrians,2,1,Going straight,Passenger,5,Moving Backward,Slight Injury
31-50,Employee,2-5yr, Industrial areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Raining,Collision with pedestrians,2,2,Going straight,na,na,No distancing,Slight Injury
31-50,Employee,5-10yr,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Raining,Collision with roadside objects,2,2,Going straight,Driver or rider,18-30,Overtaking,Slight Injury
Over 51,Employee,5-10yr,Office areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,na,na,Driving carelessly,Serious Injury
18-30,Employee,Above 10yr,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,3,Reversing,na,na,Driving carelessly,Serious Injury
18-30,Employee,5-10yr,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,3,Moving Backward,Driver or rider,31-50,Moving Backward,Serious Injury
18-30,Employee,5-10yr, Outside rural areas,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,3,Other,Pedestrian,18-30,Driving carelessly,Serious Injury
18-30,Employee,Above 10yr,Other,other,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,3,Going straight,na,na,Driving to the left,Serious Injury
18-30,Owner,,Residential areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Windy,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,18-30,Changing lane to the left,Slight Injury
Over 51,Owner,5-10yr,Office areas,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Collision with pedestrians,6,1,Going straight,Passenger,31-50,No distancing,Slight Injury
Unknown,Employee,5-10yr,Office areas,Double carriageway (median),Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,6,1,Going straight,Driver or rider,Over 51,No distancing,Slight Injury
Unknown,Employee,Below 1yr, Hospital areas,One way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,6,1,Going straight,na,na,Changing lane to the right,Slight Injury
Unknown,,, Industrial areas,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,6,1,Going straight,na,na,Driving under the influence of drugs,Slight Injury
Unknown,Employee,5-10yr,Other,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,6,1,Going straight,na,na,Changing lane to the right,Slight Injury
Unknown,Employee,5-10yr,Office areas,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,6,1,Going straight,Driver or rider,31-50,Changing lane to the left,Slight Injury
Under 18,Employee,Above 10yr,Office areas,other,Y Shape,Asphalt roads,Daylight,Raining,With Train,2,2,Going straight,Driver or rider,31-50,Moving Backward,Slight Injury
18-30,Employee,Above 10yr,Residential areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,2,2,Other,na,na,No distancing,Slight Injury
18-30,Employee,Above 10yr,Residential areas,,O Shape,Other,Darkness - no lighting,Raining,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,31-50,Changing lane to the right,Slight Injury
18-30,Employee,Above 10yr,School areas,Two-way (divided with broken lines road marking),O Shape,,Darkness - no lighting,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,Moving Backward,Slight Injury
18-30,Employee,Above 10yr,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Moving Backward,Driver or rider,18-30,No distancing,Slight Injury
31-50,Employee,Above 10yr,  Market areas,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Passenger,18-30,Driving to the left,Slight Injury
31-50,Employee,5-10yr,Office areas,other,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Moving Backward,na,na,Driving to the left,Slight Injury
Unknown,Employee,2-5yr, Church areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,2,,Driver or rider,31-50,Moving Backward,Slight Injury
18-30,Employee,Below 1yr, Church areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,Moving Backward,Slight Injury
18-30,Employee,Below 1yr,Residential areas,Double carriageway (median),Crossing,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,3,1,Going straight,Pedestrian,Over 51,Overtaking,Slight Injury
Over 51,Employee,2-5yr,Residential areas,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Raining,Collision with pedestrians,3,1,Going straight,Pedestrian,31-50,Driving carelessly,Slight Injury
31-50,Employee,Below 1yr,Residential areas,Double carriageway (median),Crossing,Asphalt roads,Daylight,Raining,Collision with roadside objects,3,1,Going straight,na,na,Changing lane to the left,Slight Injury
18-30,Employee,Below 1yr,Residential areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,2,1,Other,Driver or rider,18-30,Driving under the influence of drugs,Serious Injury
Over 51,Employee,,Other,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,18-30,No distancing,Serious Injury
Unknown,Employee,5-10yr,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,Moving Backward,Slight Injury
18-30,Employee,Below 1yr,Residential areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,Changing lane to the left,Slight Injury
18-30,Employee,Below 1yr,Other,other,Y Shape,Other,Daylight,Raining,Vehicle with vehicle collision,2,3,Moving Backward,Passenger,31-50,Changing lane to the right,Slight Injury
18-30,Employee,1-2yr, Church areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,2,3,Going straight,Pedestrian,18-30,No distancing,Slight Injury
31-50,Employee,Above 10yr,Other,Undivided Two way,Y Shape,Asphalt roads,Daylight,Raining,Collision with roadside objects,2,3,Going straight,na,na,Driving at high speed,Slight Injury
31-50,Employee,Above 10yr,Office areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,31-50,Changing lane to the right,Slight Injury
31-50,Employee,Below 1yr,Office areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,31-50,No priority to vehicle,Slight Injury
18-30,Employee,2-5yr,Residential areas,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,na,na,No distancing,Slight Injury
18-30,Employee,2-5yr,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,31-50,Turnover,Slight Injury
18-30,Employee,Above 10yr, Industrial areas,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,1,Going straight,na,na,No distancing,Slight Injury
18-30,Employee,2-5yr,Office areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Raining and Windy,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,18-30,Changing lane to the right,Slight Injury
18-30,Employee,2-5yr,  Recreational areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Raining and Windy,Collision with pedestrians,2,2,Reversing,na,na,No distancing,Slight Injury
18-30,Employee,1-2yr,Residential areas,Two-way (divided with broken lines road marking),No junction,Other,Darkness - lights lit,Raining and Windy,Collision with pedestrians,2,2,Moving Backward,Driver or rider,18-30,Changing lane to the left,Slight Injury
31-50,Employee,5-10yr,Residential areas,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,2,3,Going straight,Pedestrian,31-50,Driving carelessly,Slight Injury
18-30,Employee,Below 1yr, Church areas,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,2,3,Going straight,Driver or rider,18-30,Changing lane to the right,Slight Injury
18-30,Employee,Below 1yr,Residential areas,Undivided Two way,Crossing,,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Reversing,na,na,No priority to vehicle,Slight Injury
18-30,Employee,,,other,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,18-30,No distancing,Slight Injury
31-50,Employee,Below 1yr,Other,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,1,Reversing,na,na,No priority to pedestrian,Slight Injury
31-50,Employee,1-2yr,Other,Two-way (divided with solid lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,2,1,Other,Driver or rider,18-30,No priority to pedestrian,Serious Injury
Over 51,Employee,2-5yr, Church areas,Two-way (divided with solid lines road marking),Y Shape,Earth roads,Daylight,Normal,Collision with roadside objects,2,1,,na,na,No priority to vehicle,Serious Injury
Under 18,Employee,1-2yr,Other,Two-way (divided with solid lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,18-30,Changing lane to the left,Slight Injury
18-30,Employee,5-10yr, Church areas,Two-way (divided with solid lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Changing lane to the left,Slight Injury
18-30,Employee,Below 1yr, Church areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,31-50,No distancing,Slight Injury
18-30,Employee,Above 10yr,Other,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Over 51,No priority to vehicle,Slight Injury
18-30,Owner,5-10yr,Other,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Pedestrian,18-30,No distancing,Slight Injury
18-30,Employee,Below 1yr,School areas,other,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,31-50,No distancing,Slight Injury
31-50,Employee,5-10yr,Residential areas,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,Changing lane to the right,Slight Injury
31-50,Owner,5-10yr,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,2,Going straight,na,na,Changing lane to the left,Slight Injury
18-30,Employee,2-5yr,Office areas,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Under 18,No distancing,Slight Injury
18-30,Employee,Above 10yr,Residential areas,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,2,2,Going straight,Driver or rider,Under 18,Overturning,Slight Injury
Over 51,Employee,5-10yr,Other,One way,Crossing,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,2,2,Going straight,na,na,No priority to vehicle,Slight Injury
Over 51,Employee,1-2yr,Residential areas,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Raining,Collision with pedestrians,2,2,Going straight,Pedestrian,18-30,Moving Backward,Slight Injury
18-30,Employee,5-10yr,Residential areas,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Over 51,Driving under the influence of drugs,Slight Injury
18-30,Employee,2-5yr,Residential areas,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,31-50,Moving Backward,Slight Injury
31-50,Employee,Below 1yr,Other,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,Changing lane to the right,Slight Injury
Under 18,Employee,Below 1yr,Other,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,Driver or rider,18-30,Overspeed,Slight Injury
